chr6	36676069	36676804
chr9	115944057	115944889
chr7	40717214	40717791
chr1	144997746	144998556
chr3	13648114	13648958
chr1	116878143	116879762
chr5	58461995	58462470
chr17	73613612	73614702
chr3	113241072	113242107
chr21	42973850	42974438
chr13	113836858	113837820
chr5	174328304	174329376
chr19	48637826	48639291
chr17	50953943	50954778
chr11	45899668	45900182
chrX	17635128	17635893
chr6	31763311	31764330
chr8	124262189	124263594
chr16	4461095	4461929
chr4	41144653	41145309
chr9	127776300	127776905
chr6	170231821	170232370
chr17	47990611	47992128
chr19	40806422	40807233
chr6	82778839	82779507
chr19	46133145	46133710
chr19	35643161	35644129
chr19	18373717	18374637
chr5	67267586	67269306
chr11	125263138	125264010
chr7	101390535	101391329
chr3	186097184	186098615
chr10	131751126	131752095
chr1	27607053	27608051
chr1	22225678	22226517
chr12	1579811	1581487
chr10	31677324	31678162
chr2	104703578	104704145
chrX	132878173	132878599
chr11	44823959	44825059
chr12	106767951	106768791
chr6	41569340	41570782
chr20	39853108	39854095
chr11	114232206	114234143
chr1	68216988	68218047
chr10	100485219	100486634
chrX	108176814	108178481
chr2	79393623	79394404
chr14	69713158	69713502
chr9	72627169	72627761
chr22	38463307	38463782
chr6	16205019	16206265
chr15	67843610	67844531
chr20	56924588	56926162
chr1	33363162	33365180
chr2	15788238	15789127
chr22	28942965	28943796
chr16	49701795	49703157
chr22	45905233	45906730
chr21	15440952	15441539
chr2	11498570	11499627
chr21	43158914	43160581
chr3	169354626	169355298
chr1	43008138	43009253
chr17	47994922	47995807
chr5	14728044	14729121
chr6	126526614	126527464
chr19	14496054	14496812
chr1	156439475	156440364
chr11	71240824	71241338
chr13	99958280	99960488
chr3	194749513	194750856
chr5	81850879	81852209
chr8	57875308	57876052
chr7	148334463	148335737
chr3	57130521	57131287
chr17	73410628	73411635
chr1	204094067	204094775
chr11	125347836	125349058
chr17	57406161	57407133
chr13	109412294	109412992
chr1	165279736	165280442
chr10	118258195	118258834
chr3	194285946	194287247
chr3	141083929	141084886
chr3	25427877	25428708
chr10	121340093	121340890
chr9	132409644	132410649
chr12	124745588	124746632
chr10	78742866	78743732
chr12	118880516	118881079
chr3	141081357	141082568
chr9	133887965	133888995
chr16	65599712	65600553
chr2	20990539	20991500
chr7	43639749	43640295
chrX	133786341	133786751
chr15	32899127	32899672
chr5	87899378	87900106
chr6	82741856	82742432
chr1	68293100	68294696
chr1	7668434	7669005
chr4	95180778	95181890
chr1	47992398	47993336
chr1	223022574	223023720
chr1	68140748	68141757
chr9	129557106	129558377
chr15	55652318	55652838
chr17	51607406	51607986
chr22	27494427	27495836
chr11	128389311	128390117
chr2	209614663	209615413
chr16	19291385	19292058
chr20	7147174	7147791
chr3	62414236	62416005
chr9	16828474	16829320
chr1	176996127	176997336
chr22	40714203	40715095
chr10	97149837	97150989
chr9	132424490	132425472
chr19	13163494	13165222
chr13	112103859	112104966
chr5	93821824	93822436
chr4	153834612	153835395
chr17	31557015	31557829
chr22	48239429	48240647
chr2	128368976	128370332
chr15	67945918	67947100
chr8	141758369	141759736
chr14	101365275	101365776
chr17	57537645	57538956
chr16	85291396	85292099
chr22	17436677	17437513
chr14	68568900	68570188
chr13	35714128	35715142
chr3	150106893	150107512
chr17	78365063	78366632
chr7	21028060	21029662
chr4	88162637	88163185
chr16	49696306	49697419
chr3	181756616	181757153
chr1	44505380	44506161
chr6	37125536	37126839
chr3	15929913	15930345
chr6	112502972	112503850
chr2	109020171	109021056
chr21	17438403	17439200
chr11	15845092	15845757
chr22	26750940	26751768
chr12	115035371	115036026
chr3	186532453	186533073
chr17	65600997	65601673
chr2	206229987	206230806
chr16	67966167	67966532
chr6	143972899	143973868
chr13	106100391	106101145
chr10	76050890	76051693
chr12	4025055	4026311
chr3	32869488	32870192
chr4	2071892	2072409
chr3	177359525	177360768
chr3	64945035	64945730
chr1	197733256	197733907
chr13	99860709	99861204
chr11	125370559	125371955
chr1	16115824	16116342
chr21	42672347	42673408
chr6	1720552	1721090
chr3	58580964	58582131
chr1	16152481	16153583
chr19	37953169	37954043
chr5	178356432	178357657
chr3	113094380	113095160
chr1	93721955	93723609
chr1	228037129	228038412
chr6	19311755	19312840
chr11	2721138	2721855
chr3	193710585	193711894
chr3	187382704	187383504
chr1	91564908	91565663
chr17	80694063	80694663
chr14	89428778	89429238
chr10	113309441	113310301
chr1	205300925	205302023
chr10	93790272	93790892
chr1	22208276	22209358
chr17	6376845	6377474
chr17	46732740	46733306
chr3	32843160	32843898
chr1	26350591	26351367
chr11	9765120	9766048
chr16	57479431	57480178
chr12	32139555	32140285
chr7	100487112	100487521
chr19	54420117	54421546
chr15	40088342	40089597
chr19	13051335	13052311
chr3	57110700	57111264
chr14	99663729	99664653
chr8	60396029	60396646
chr2	110837532	110838477
chr16	65281041	65282088
chr2	85255207	85256664
chr16	73152749	73153178
chr11	44243697	44244403
chr14	88310315	88310952
chr7	5634055	5634868
chr1	205670445	205671482
chr22	43326184	43327073
chr12	97143088	97143638
chr9	80798136	80798786
chr11	7484995	7485999
chr14	56648431	56649407
chr20	10667359	10668137
chr16	79723575	79724338
chr15	31150625	31151479
chr10	72297640	72298951
chr3	55127546	55128811
chr2	171431046	171431377
chr9	132434608	132435321
chr18	3665773	3666576
chr7	25725903	25727242
chr12	48986249	48987429
chr2	222256096	222256742
chr14	84254307	84255033
chr19	47226990	47228220
chr12	4140567	4141703
chr7	42213787	42214435
chr3	157335731	157336044
chr20	56957524	56958529
chr11	73330637	73331781
chr3	52834864	52835503
chr2	37653929	37654554
chr15	40091482	40092660
chr18	28041369	28041764
chr17	57935105	57936612
chr12	128338816	128339729
chr22	39174374	39175373
chr20	9359486	9360399
chr9	79662445	79663357
chr4	139815828	139816730
chr3	193974770	193975561
chr1	234957370	234958149
chr16	629301	631458
chr2	16329752	16330548
chr1	160108858	160109889
chr7	36658775	36659599
chr16	65598416	65599097
chr11	119797054	119797726
chr12	54354978	54355967
chr8	102236730	102236997
chr10	14296166	14296665
chr1	68174022	68174620
chr12	128297959	128298665
chr5	139750295	139750981
chr1	156673457	156674825
chr13	105997629	105998640
chr8	103105720	103106434
chr4	153929626	153930217
chr2	222238862	222239492
chr2	62411113	62411905
chr3	171959555	171960092
chr14	100839964	100840757
chr21	16279608	16280631
chr19	43635027	43635763
chr15	41568356	41569012
chr7	104979077	104979853
chr4	123304051	123304849
chr16	19746379	19747020
chr14	73783199	73783771
chr4	1864074	1865044
chr10	102776687	102777401
chr18	10403483	10404038
chr12	128383119	128383960
chr18	32548577	32549240
chr13	99746583	99747488
chr12	116658541	116659130
chr10	72259974	72261662
chr7	132232116	132232979
chr21	45469321	45470267
chr14	68517932	68518972
chr5	124806377	124806987
chr1	23370703	23371463
chr12	65510350	65511148
chr11	64348367	64349274
chr5	55030078	55030598
chr18	61469958	61470628
chr11	126033912	126034573
chr9	132474031	132474896
chr15	37045578	37046406
chr4	4640679	4641038
chr1	156692825	156693579
chr11	9036956	9037833
chr2	236715308	236715910
chr14	100398081	100398376
chr12	106188161	106188908
chr9	136109580	136110418
chr5	173292166	173292707
chr18	23259610	23260583
chr17	71828137	71828692
chr10	97549345	97550419
chr15	67029856	67030964
chr12	89883938	89884432
chr17	42519713	42520917
chr14	77075825	77076770
chr10	121710172	121711020
chr9	33375211	33375637
chr1	27504407	27505654
chr11	65420969	65421567
chr1	205313294	205314571
chr1	1359442	1360469
chr9	113505902	113506739
chr20	10629855	10630350
chr6	52325905	52326537
chr6	36666999	36667566
chr11	126100606	126101709
chr11	114257444	114258320
chr10	86954175	86954745
chr5	2537915	2538629
chr3	14620094	14620986
chr2	16330584	16330955
chr1	216927162	216927852
chr1	38455882	38456886
chr22	28112277	28113217
chr17	73612970	73613594
chr12	24230015	24230799
chr7	152989776	152990223
chr5	135069203	135070050
chr12	45034652	45035300
chr12	13114250	13115071
chr6	112501776	112502095
chr3	63015567	63016151
chr3	47890118	47891295
chr12	124738655	124739514
chr11	128246757	128247267
chr4	123505396	123506909
chr4	87038812	87039214
chr2	226030751	226031644
chr17	81094367	81095778
chr12	1584313	1584831
chr13	113022467	113023243
chr9	78437838	78438617
chr3	182241602	182242560
chr1	204108595	204109398
chr14	104665318	104666635
